"data_source","computer_id","name","file_system","short_description","free_space","disk_space","volume_name","volume_serial_number","data_token","is_deleted"
"SCCM","SCCM_SERIALSC20012BDNACORP\BDNASC20012","C:","NTFS","Local Fixed Disk","","","","8A429A75","7932496990","false"
"SCCM","SCCM_SERIALSC20012BDNACORP\BDNASC20012","D:","NTFS","Local Fixed Disk","","","Data","8E591992","7932496990","false"
"SCCM","SCCM_SERIALSC20012BDNACORP\BDNASC20012","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20013BDNACORP\BDNASC20013","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20013BDNACORP\BDNASC20013","C:","NTFS","Local Fixed Disk","","","","00000004","7932496990","false"
"SCCM","SCCM_SERIALSC20013BDNACORP\BDNASC20013","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20014BDNACORP\BDNASC20014","C:","NTFS","Local Fixed Disk","","","System","6866EC59","7932496990","false"
"SCCM","SCCM_SERIALSC20014BDNACORP\BDNASC20014","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20015BDNACORP\BDNASC20015","C:","NTFS","Local Fixed Disk","","","","90F2BE67","7932496990","false"
"SCCM","SCCM_SERIALSC20015BDNACORP\BDNASC20015","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20016BDNACORP\BDNASC20016","C:","NTFS","Local Fixed Disk","","","System","7CB3500F","7932496990","false"
"SCCM","SCCM_SERIALSC20016BDNACORP\BDNASC20016","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20016BDNACORP\BDNASC20016","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20017BDNACORP\BDNASC20017","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20017BDNACORP\BDNASC20017","C:","NTFS","Local Fixed Disk","","","","8A429A75","7932496990","false"
"SCCM","SCCM_SERIALSC20017BDNACORP\BDNASC20017","D:","NTFS","Local Fixed Disk","","","Data","D6C8402C","7932496990","false"
"SCCM","SCCM_SERIALSC20017BDNACORP\BDNASC20017","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20018BDNACORP\BDNASC20018","C:","NTFS","Local Fixed Disk","","","","E4464CA8","7932496990","false"
"SCCM","SCCM_SERIALSC20018BDNACORP\BDNASC20018","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20019BDNACORP\BDNASC20019","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20019BDNACORP\BDNASC20019","C:","NTFS","Local Fixed Disk","","","","027A587B","7932496990","false"
"SCCM","SCCM_SERIALSC20019BDNACORP\BDNASC20019","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20020BDNACORP\BDNASC20020","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20020BDNACORP\BDNASC20020","C:","NTFS","Local Fixed Disk","","","","8A429A75","7932496990","false"
"SCCM","SCCM_SERIALSC20020BDNACORP\BDNASC20020","D:","NTFS","Local Fixed Disk","","","Data","2E8B3D0B","7932496990","false"
"SCCM","SCCM_SERIALSC20020BDNACORP\BDNASC20020","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20021BDNACORP\BDNASC20021","C:","NTFS","Local Fixed Disk","","","","0652E3CA","7932496990","false"
"SCCM","SCCM_SERIALSC20021BDNACORP\BDNASC20021","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20022BDNACORP\BDNASC20022","C:","NTFS","Local Fixed Disk","","","","40C69FB9","7932496990","false"
"SCCM","SCCM_SERIALSC20022BDNACORP\BDNASC20022","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20023BDNACORP\BDNASC20023","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20023BDNACORP\BDNASC20023","C:","NTFS","Local Fixed Disk","","","","8A429A75","7932496990","false"
"SCCM","SCCM_SERIALSC20023BDNACORP\BDNASC20023","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20024BDNACORP\BDNASC20024","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20024BDNACORP\BDNASC20024","C:","NTFS","Local Fixed Disk","","","","CEB3D583","7932496990","false"
"SCCM","SCCM_SERIALSC20024BDNACORP\BDNASC20024","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20025BDNACORP\BDNASC20025","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20025BDNACORP\BDNASC20025","C:","NTFS","Local Fixed Disk","","","","CEB3D583","7932496990","false"
"SCCM","SCCM_SERIALSC20025BDNACORP\BDNASC20025","D:","NTFS","Local Fixed Disk","","","","A6F360C2","7932496990","false"
"SCCM","SCCM_SERIALSC20025BDNACORP\BDNASC20025","X:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20026BDNACORP\BDNASC20026","C:","NTFS","Local Fixed Disk","","","System","289FDFAA","7932496990","false"
"SCCM","SCCM_SERIALSC20026BDNACORP\BDNASC20026","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20027BDNACORP\BDNASC20027","C:","NTFS","Local Fixed Disk","","","System","4A94723E","7932496990","false"
"SCCM","SCCM_SERIALSC20027BDNACORP\BDNASC20027","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20028BDNACORP\BDNASC20028","C:","NTFS","Local Fixed Disk","","","","D697DDA4","7932496990","false"
"SCCM","SCCM_SERIALSC20028BDNACORP\BDNASC20028","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20029BDNACORP\BDNASC20029","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20029BDNACORP\BDNASC20029","C:","NTFS","Local Fixed Disk","","","","CEB3D583","7932496990","false"
"SCCM","SCCM_SERIALSC20029BDNACORP\BDNASC20029","E:","NTFS","Local Fixed Disk","","","Data","CA85256B","7932496990","false"
"SCCM","SCCM_SERIALSC20029BDNACORP\BDNASC20029","S:","NTFS","Local Fixed Disk","","","","DEA0659F","7932496990","false"
"SCCM","SCCM_SERIALSC20029BDNACORP\BDNASC20029","T:","NTFS","Local Fixed Disk","","","TRANSLOGS","3EBC1AC4","7932496990","false"
"SCCM","SCCM_SERIALSC20029BDNACORP\BDNASC20029","U:","NTFS","Local Fixed Disk","","","Temp","84CF4070","7932496990","false"
"SCCM","SCCM_SERIALSC20029BDNACORP\BDNASC20029","Z:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20030BDNACORP\BDNASC20030","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20030BDNACORP\BDNASC20030","C:","NTFS","Local Fixed Disk","","","","64E0E5CE","7932496990","false"
"SCCM","SCCM_SERIALSC20030BDNACORP\BDNASC20030","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20031BDNACORP\BDNASC20031","C:","NTFS","Local Fixed Disk","","","","8A5275F5","7932496990","false"
"SCCM","SCCM_SERIALSC20032BDNACORP\BDNASC20032","C:","NTFS","Local Fixed Disk","","","","7DB98E5F","7932496990","false"
"SCCM","SCCM_SERIALSC20032BDNACORP\BDNASC20032","D:","NTFS","Local Fixed Disk","","","Data","BA5FD0E0","7932496990","false"
"SCCM","SCCM_SERIALSC20032BDNACORP\BDNASC20032","X:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20033BDNACORP\BDNASC20033","C:","NTFS","Local Fixed Disk","","","","2E874C7B","7932496990","false"
"SCCM","SCCM_SERIALSC20034BDNACORP\BDNASC20034","C:","NTFS","Local Fixed Disk","","","","2C8C8AEB","7932496990","false"
"SCCM","SCCM_SERIALSC20034BDNACORP\BDNASC20034","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20035BDNACORP\BDNASC20035","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20035BDNACORP\BDNASC20035","C:","NTFS","Local Fixed Disk","","","","5880876D","7932496990","false"
"SCCM","SCCM_SERIALSC20035BDNACORP\BDNASC20035","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20036BDNACORP\BDNASC20036","C:","NTFS","Local Fixed Disk","","","","44E2DEFA","7932496990","false"
"SCCM","SCCM_SERIALSC20036BDNACORP\BDNASC20036","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20037BDNACORP\BDNASC20037","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20037BDNACORP\BDNASC20037","C:","NTFS","Local Fixed Disk","","","","480B9A08","7932496990","false"
"SCCM","SCCM_SERIALSC20037BDNACORP\BDNASC20037","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20037BDNACORP\BDNASC20037","E:","NTFS","Local Fixed Disk","","","Data","04CA0FFE","7932496990","false"
"SCCM","SCCM_SERIALSC20038BDNACORP\BDNASC20038","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20038BDNACORP\BDNASC20038","C:","NTFS","Local Fixed Disk","","","","64E0E5CE","7932496990","false"
"SCCM","SCCM_SERIALSC20038BDNACORP\BDNASC20038","D:","NTFS","Local Fixed Disk","","","Data","BC10F6B8","7932496990","false"
"SCCM","SCCM_SERIALSC20038BDNACORP\BDNASC20038","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20038BDNACORP\BDNASC20038","P:","NTFS","Local Fixed Disk","","","Page","96D2A3C0","7932496990","false"
"SCCM","SCCM_SERIALSC20039BDNACORP\BDNASC20039","C:","NTFS","Local Fixed Disk","","","System","8C710556","7932496990","false"
"SCCM","SCCM_SERIALSC20039BDNACORP\BDNASC20039","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20040BDNACORP\BDNASC20040","C:","NTFS","Local Fixed Disk","","","","E2EAC2F1","7932496990","false"
"SCCM","SCCM_SERIALSC20041BDNACORP\BDNASC20041","C:","NTFS","Local Fixed Disk","","","System","167D2BA0","7932496990","false"
"SCCM","SCCM_SERIALSC20041BDNACORP\BDNASC20041","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20042BDNACORP\BDNASC20042","C:","NTFS","Local Fixed Disk","","","","8AB27BFA","7932496990","false"
"SCCM","SCCM_SERIALSC20042BDNACORP\BDNASC20042","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20043BDNACORP\BDNASC20043","C:","NTFS","Local Fixed Disk","","","","24E779A6","7932496990","false"
"SCCM","SCCM_SERIALSC20043BDNACORP\BDNASC20043","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20044BDNACORP\BDNASC20044","C:","NTFS","Local Fixed Disk","","","","FE44FB26","7932496990","false"
"SCCM","SCCM_SERIALSC20044BDNACORP\BDNASC20044","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20045BDNACORP\BDNASC20045","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20045BDNACORP\BDNASC20045","C:","NTFS","Local Fixed Disk","","","","8A429A75","7932496990","false"
"SCCM","SCCM_SERIALSC20045BDNACORP\BDNASC20045","D:","NTFS","Local Fixed Disk","","","Data","3A37F432","7932496990","false"
"SCCM","SCCM_SERIALSC20045BDNACORP\BDNASC20045","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20046BDNACORP\BDNASC20046","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20046BDNACORP\BDNASC20046","C:","NTFS","Local Fixed Disk","","","","5880876D","7932496990","false"
"SCCM","SCCM_SERIALSC20046BDNACORP\BDNASC20046","D:","NTFS","Local Fixed Disk","","","","CC30E92F","7932496990","false"
"SCCM","SCCM_SERIALSC20046BDNACORP\BDNASC20046","E:","NTFS","Local Fixed Disk","","","","804D08AF","7932496990","false"
"SCCM","SCCM_SERIALSC20046BDNACORP\BDNASC20046","F:","NTFS","Local Fixed Disk","","","","46694CAF","7932496990","false"
"SCCM","SCCM_SERIALSC20046BDNACORP\BDNASC20046","S:","NTFS","Local Fixed Disk","","","","CC7CC357","7932496990","false"
"SCCM","SCCM_SERIALSC20046BDNACORP\BDNASC20046","T:","NTFS","Local Fixed Disk","","","","C89C8926","7932496990","false"
"SCCM","SCCM_SERIALSC20046BDNACORP\BDNASC20046","U:","NTFS","Local Fixed Disk","","","","CCA7DA19","7932496990","false"
"SCCM","SCCM_SERIALSC20046BDNACORP\BDNASC20046","V:","NTFS","Local Fixed Disk","","","","3CB6013F","7932496990","false"
"SCCM","SCCM_SERIALSC20046BDNACORP\BDNASC20046","X:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20047BDNACORP\BDNASC20047","C:","NTFS","Local Fixed Disk","","","","30519468","7932496990","false"
"SCCM","SCCM_SERIALSC20048BDNACORP\BDNASC20048","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20048BDNACORP\BDNASC20048","C:","NTFS","Local Fixed Disk","","","","CEB3D583","7932496990","false"
"SCCM","SCCM_SERIALSC20048BDNACORP\BDNASC20048","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20049BDNACORP\BDNASC20049","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20049BDNACORP\BDNASC20049","C:","NTFS","Local Fixed Disk","","","","9845FE96","7932496990","false"
"SCCM","SCCM_SERIALSC20049BDNACORP\BDNASC20049","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20049BDNACORP\BDNASC20049","E:","NTFS","Local Fixed Disk","","","Apps","B2A770E9","7932496990","false"
"SCCM","SCCM_SERIALSC20050BDNACORP\BDNASC20050","C:","NTFS","Local Fixed Disk","","","Windows","F20C8003","7932496990","false"
"SCCM","SCCM_SERIALSC20050BDNACORP\BDNASC20050","D:","NTFS","Local Fixed Disk","","","HP_RECOVERY","44C2E16D","7932496990","false"
"SCCM","SCCM_SERIALSC20050BDNACORP\BDNASC20050","E:","NTFS","Local Fixed Disk","","","Data","BC5A358E","7932496990","false"
"SCCM","SCCM_SERIALSC20050BDNACORP\BDNASC20050","N:","","Removable Disk","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20050BDNACORP\BDNASC20050","Q:","","Removable Disk","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20050BDNACORP\BDNASC20050","W:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20050BDNACORP\BDNASC20050","X:","","Removable Disk","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20050BDNACORP\BDNASC20050","Y:","","Removable Disk","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20051BDNACORP\BDNASC20051","C:","NTFS","Local Fixed Disk","","","System","E07378B7","7932496990","false"
"SCCM","SCCM_SERIALSC20051BDNACORP\BDNASC20051","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20052BDNACORP\BDNASC20052","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20052BDNACORP\BDNASC20052","C:","NTFS","Local Fixed Disk","","","","5880876D","7932496990","false"
"SCCM","SCCM_SERIALSC20052BDNACORP\BDNASC20052","D:","NTFS","Local Fixed Disk","","","Data","3A362705","7932496990","false"
"SCCM","SCCM_SERIALSC20052BDNACORP\BDNASC20052","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20053BDNACORP\BDNASC20053","C:","NTFS","Local Fixed Disk","","","OS","3D928B2D","7932496990","false"
"SCCM","SCCM_SERIALSC20053BDNACORP\BDNASC20053","D:","NTFS","Local Fixed Disk","","","Data","B462BFFB","7932496990","false"
"SCCM","SCCM_SERIALSC20053BDNACORP\BDNASC20053","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20053BDNACORP\BDNASC20053","U:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20053BDNACORP\BDNASC20053","X:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20054BDNACORP\BDNASC20054","C:","NTFS","Local Fixed Disk","","","System","FC7D552B","7932496990","false"
"SCCM","SCCM_SERIALSC20054BDNACORP\BDNASC20054","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20055BDNACORP\BDNASC20055","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20055BDNACORP\BDNASC20055","C:","NTFS","Local Fixed Disk","","","","CEB3D583","7932496990","false"
"SCCM","SCCM_SERIALSC20055BDNACORP\BDNASC20055","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20056BDNACORP\BDNASC20056","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20056BDNACORP\BDNASC20056","C:","NTFS","Local Fixed Disk","","","","64E0E5CE","7932496990","false"
"SCCM","SCCM_SERIALSC20056BDNACORP\BDNASC20056","D:","NTFS","Local Fixed Disk","","","Data","4E6CDF99","7932496990","false"
"SCCM","SCCM_SERIALSC20056BDNACORP\BDNASC20056","X:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20057BDNACORP\BDNASC20057","C:","NTFS","Local Fixed Disk","","","","E659EBAD","7932496990","false"
"SCCM","SCCM_SERIALSC20057BDNACORP\BDNASC20057","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20058BDNACORP\BDNASC20058","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20058BDNACORP\BDNASC20058","C:","NTFS","Local Fixed Disk","","","","5880876D","7932496990","false"
"SCCM","SCCM_SERIALSC20058BDNACORP\BDNASC20058","D:","NTFS","Local Fixed Disk","","","Data","429B514E","7932496990","false"
"SCCM","SCCM_SERIALSC20058BDNACORP\BDNASC20058","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20059BDNACORP\BDNASC20059","C:","NTFS","Local Fixed Disk","","","System","60FDB728","7932496990","false"
"SCCM","SCCM_SERIALSC20059BDNACORP\BDNASC20059","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20060BDNACORP\BDNASC20060","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20060BDNACORP\BDNASC20060","C:","NTFS","Local Fixed Disk","","","","5880876D","7932496990","false"
"SCCM","SCCM_SERIALSC20060BDNACORP\BDNASC20060","D:","NTFS","Local Fixed Disk","","","Data","9CABA68E","7932496990","false"
"SCCM","SCCM_SERIALSC20060BDNACORP\BDNASC20060","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20061BDNACORP\BDNASC20061","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20061BDNACORP\BDNASC20061","C:","NTFS","Local Fixed Disk","","","","CEB3D583","7932496990","false"
"SCCM","SCCM_SERIALSC20061BDNACORP\BDNASC20061","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20062BDNACORP\BDNASC20062","C:","NTFS","Local Fixed Disk","","","","2E6DA9BE","7932496990","false"
"SCCM","SCCM_SERIALSC20062BDNACORP\BDNASC20062","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20063BDNACORP\BDNASC20063","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20063BDNACORP\BDNASC20063","C:","NTFS","Local Fixed Disk","","","","027A587B","7932496990","false"
"SCCM","SCCM_SERIALSC20063BDNACORP\BDNASC20063","D:","NTFS","Local Fixed Disk","","","DATA","26C0D8F0","7932496990","false"
"SCCM","SCCM_SERIALSC20063BDNACORP\BDNASC20063","E:","","CD-ROM Disc","","","","","7932496990","false"
