"software_id","data_source","manufacturer_id","sw_release_id","name","family","major_version","version","edition","version_group","patchlevel","component","is_licensable","is_suite","category","subcategory","hidden","install_count","sw_model_lc_id","software_id_id","end_of_life","end_of_life_date","end_of_life_range_start","end_of_life_range_end","end_of_life_support_level","end_of_life_exception","general_availability","general_availability_date","ga_exception","ga_range_start","ga_range_end","obsolete_exception","delete_reason","obsolete_support_level","obsolete_range_start","obsolete_range_end","obsolete","obsolete_date","data_token"
"942234","SNOW","7365","942234","Windows 2000","Windows","5.0","5.0","Professional","2000","","","yes","no","Operating Systems","Windows","0","1","942234","942234","6/30/2005","6/30/2005 12:00:00 AM","","","Mainstream Support","","3/31/2000","3/31/2000 12:00:00 AM","","","","","","Extended Support","","","7/13/2010","7/13/2010 12:00:00 AM","7932496990"
"942260","SNOW","7365","942260","Windows 2000","Windows","5.0","5.0","Server","2000","","","yes","no","Operating Systems","Windows","0","2","942260","942260","6/30/2005","6/30/2005 12:00:00 AM","","","Mainstream Support","","3/31/2000","3/31/2000 12:00:00 AM","","","","","","Extended Support","","","7/13/2010","7/13/2010 12:00:00 AM","7932496990"
"955256","SCCM","593644","","DumpEvt","SomarSoft","","","","","","","","no","Utilities","Other Utilities","0","28","","","","","","","","","","","","","","","","","","","","","7932496990"
"958518","SNOW","8282","","Linux","","","","","","","","","no","Operating Systems","UNIX","0","1","","","","","","","","","","","","","","","","","","","","","7932496990"
"986801","SNOW","7365","986801","Windows 2000","Windows","5.0","5.0","Professional","2000","SP4","","yes","no","Operating Systems","Windows","0","1","986801","986801","6/30/2005","6/30/2005 12:00:00 AM","","","Mainstream Support","","6/26/2003","6/26/2003 12:00:00 AM","","","","","","Extended Support","","","7/13/2010","7/13/2010 12:00:00 AM","7932496990"
"955066","SNOW","6517","","AIX","","","","","","","","","no","Operating Systems","UNIX","0","2","","","","","","","","","","","","","","","","","","","","","7932496990"
"958635","SNOW","8282","958635","Linux","","5.0","5.0","","5.x","","","no","no","Operating Systems","UNIX","0","1","958635","958635","4/26/1999","4/26/1999 12:00:00 AM","","","General Support","","12/1/1997","12/1/1997 12:00:00 AM","","","","","","General Support","","","4/26/1999","4/26/1999 12:00:00 AM","7932496990"
"986701","SNOW","7365","986701","Windows 2000","Windows","5.0","5.0","Advanced Server","2000","SP4","","yes","no","Operating Systems","Windows","0","2","986701","986701","6/30/2005","6/30/2005 12:00:00 AM","","","Mainstream Support","","6/26/2003","6/26/2003 12:00:00 AM","","","","","","Extended Support","","","7/13/2010","7/13/2010 12:00:00 AM","7932496990"
"986757","SNOW","7365","986757","Windows 2000","Windows","5.0","5.0","Datacenter Server","2000","SP4","","yes","no","Operating Systems","Windows","0","1","986757","986757","6/30/2005","6/30/2005 12:00:00 AM","","","Mainstream Support","","6/26/2003","6/26/2003 12:00:00 AM","","","","","","Extended Support","","","7/13/2010","7/13/2010 12:00:00 AM","7932496990"
"986774","SNOW","7365","986774","Windows 2000","Windows","5.0","5.0","Server","2000","SP4","","yes","no","Operating Systems","Windows","0","20","986774","986774","6/30/2005","6/30/2005 12:00:00 AM","","","Mainstream Support","","6/26/2003","6/26/2003 12:00:00 AM","","","","","","Extended Support","","","7/13/2010","7/13/2010 12:00:00 AM","7932496990"
"987098","SNOW","7365","987098","Windows XP","Windows","5.1","5.1","Professional","XP","SP2","","yes","no","Operating Systems","Windows","0","42","987098","987098","7/13/2010","7/13/2010 12:00:00 AM","","","Service Pack Support","","9/17/2004","9/17/2004 12:00:00 AM","","","","","","Service Pack Support","","","7/13/2010","7/13/2010 12:00:00 AM","7932496990"
"987105","SNOW","7365","987105","Windows XP","Windows","5.1","5.1","Professional","XP","SP1","","yes","no","Operating Systems","Windows","0","22","987105","987105","9/30/2004","9/30/2004 12:00:00 AM","","","Service Pack Support","","12/31/2001","12/31/2001 12:00:00 AM","","","","","","Service Pack Support","","","9/30/2004","9/30/2004 12:00:00 AM","7932496990"
"1026176","SCCM","7365","1026176","Visio","Office","12.0","12.0","Professional","2007","","","yes","no","Enterprise Content Management (ECM)","Workflow and Business Process Management","0","1","1026176","1026176","1/13/2009","1/13/2009 12:00:00 AM","","","Service Pack Support","","1/27/2007","1/27/2007 12:00:00 AM","","","","","","Service Pack Support","","","1/13/2009","1/13/2009 12:00:00 AM","7932496990"
"1026235","SCCM","7365","1026235","Visio Viewer","Office","12.0","12.0","","2007","","","no","no","Business Intelligence (BI)","Business Metrics and Reporting Tools","0","2","1026235","1026235","10/9/2012","10/9/2012 12:00:00 AM","","","Mainstream Support","","11/9/2006","11/9/2006 12:00:00 AM","","","","","","Extended Support","","","10/10/2017","10/10/2017 12:00:00 AM","7932496990"
"986779","SNOW","7365","986779","Windows 2000","Windows","5.0","5.0","Server","2000","SP3","","yes","no","Operating Systems","Windows","0","6","986779","986779","6/30/2005","6/30/2005 12:00:00 AM","","","Service Pack Support","","8/1/2002","8/1/2002 12:00:00 AM","","","","","","Service Pack Support","","","6/30/2005","6/30/2005 12:00:00 AM","7932496990"
"1007539","SCCM","9121","1007539","HTTP Server","","2.2","2.2","","2.2","","","no","no","Middleware","Web Servers","0","5","1007539","1007539","1/1/2018","1/1/2018 12:00:00 AM","","","Open Source Support","","12/1/2005","12/1/2005 12:00:00 AM","","","","","","Open Source Support","","","1/1/2018","1/1/2018 12:00:00 AM","7932496990"
"1007696","SCCM","9121","1007696","Tomcat","","5.0","5.0","","5.x","","","no","no","Middleware","Web Servers","0","8","1007696","1007696","10/23/2007","10/23/2007 12:00:00 AM","","","Open Source Support","","10/9/2002","10/9/2002 12:00:00 AM","","","","","","Open Source Support","","","10/23/2007","10/23/2007 12:00:00 AM","7932496990"
"1026276","SCCM","7365","1026276","Media Player","Windows","11","11","","11","","","no","no","Multimedia & Graphics","Multimedia Players","0","6","1026276","1026276","1/13/2015","1/13/2015 12:00:00 AM","","","Mainstream Support","","10/30/2006","10/30/2006 12:00:00 AM","","","","","","Extended Support","","","1/14/2020","1/14/2020 12:00:00 AM","7932496990"
"1026273","SCCM","7365","1026273","Media Player","Windows","10","10","","10","","","no","no","Multimedia & Graphics","Multimedia Players","0","1","1026273","1026273","4/14/2009","4/14/2009 12:00:00 AM","","","Mainstream Support","","9/10/2004","9/10/2004 12:00:00 AM","","","","","","Extended Support","","","4/8/2014","4/8/2014 12:00:00 AM","7932496990"
"1026422","SCCM","7365","1026422","Chat","","2.0","2.5","","2","","","yes","no","Collaboration","Instant Messaging","0","1","1026422","1026422","6/1/2001","6/1/2001 12:00:00 AM","","","Mainstream Support (2-Level Policy)","","7/12/1998","7/12/1998 12:00:00 AM","","","","","","Mainstream Support (2-Level Policy)","","","6/1/2001","6/1/2001 12:00:00 AM","7932496990"
"1027000","SCCM","7365","1027000","Office","Office","12.0","12.0","Professional Plus","2007","","","yes","yes","Productivity","Productivity Suites","0","7","1027000","1027000","1/13/2009","1/13/2009 12:00:00 AM","","","Service Pack Support","","1/27/2007","1/27/2007 12:00:00 AM","","","","","","Service Pack Support","","","1/13/2009","1/13/2009 12:00:00 AM","7932496990"
"1031219","SCCM","7365","1031219","Outlook","Office","12.0","12.0","","2007","","","yes","no","Productivity","PIM & Contact Managers","0","3","1031219","1031219","1/13/2009","1/13/2009 12:00:00 AM","","","Service Pack Support","","1/27/2007","1/27/2007 12:00:00 AM","","","","","","Service Pack Support","","","1/13/2009","1/13/2009 12:00:00 AM","7932496990"
"1026473","SCCM","7365","1026473","Outlook Express","","6.0","6.0","","6","","","no","no","Productivity","PIM & Contact Managers","0","2","1026473","1026473","4/14/2009","4/14/2009 12:00:00 AM","","","Mainstream Support","","8/27/2001","8/27/2001 12:00:00 AM","","","","","","Extended Support","","","4/8/2014","4/8/2014 12:00:00 AM","7932496990"
"1027030","SCCM","7365","1027030","Office","Office","12.0","12.0","Enterprise","2007","","","yes","yes","Productivity","Productivity Suites","0","2","1027030","1027030","1/13/2009","1/13/2009 12:00:00 AM","","","Service Pack Support","","1/27/2007","1/27/2007 12:00:00 AM","","","","","","Service Pack Support","","","1/13/2009","1/13/2009 12:00:00 AM","7932496990"
"1031420","SCCM","7365","1031420","InfoPath","Office","12.0","12.0","","2007","","","yes","no","Enterprise Content Management (ECM)","Content Delivery and Distribution","0","3","1031420","1031420","1/13/2009","1/13/2009 12:00:00 AM","","","Service Pack Support","","1/27/2007","1/27/2007 12:00:00 AM","","","","","","Service Pack Support","","","1/13/2009","1/13/2009 12:00:00 AM","7932496990"
"1061668","SCCM","475460","1061668","WinRAR (WinRAR archiver)","","3.00","3.60","","3","","","yes","no","Utilities","File Managers","0","1","1061668","1061668","5/30/2007","5/30/2007 12:00:00 AM","","","Technical Support","","8/18/2006","8/18/2006 12:00:00 AM","","","","","","Technical Support","","","5/30/2007","5/30/2007 12:00:00 AM","7932496990"
"1041642","SCCM","5423","1041642","PaintShop Pro","","7.00","7.00","","7.0","","","yes","no","Multimedia & Graphics","Graphics and Image Editing","0","3","1041642","1041642","Not Available","","","","Classic Support","Date not published by vendor","9/21/2000","9/21/2000 12:00:00 AM","","","","Date not published by vendor","","Premium Support","","","Not Available","","7932496990"
"1061632","SCCM","475460","1061632","WinRAR (WinRAR archiver)","","3.00","3.30","","3","","","yes","no","Utilities","File Managers","0","3","1061632","1061632","9/15/2004","9/15/2004 12:00:00 AM","","","Technical Support","","1/26/2004","1/26/2004 12:00:00 AM","","","","","","Technical Support","","","9/15/2004","9/15/2004 12:00:00 AM","7932496990"
"1061656","SCCM","475460","1061656","WinRAR (WinRAR archiver)","","3.00","3.50","","3","","","yes","no","Utilities","File Managers","0","1","1061656","1061656","8/18/2006","8/18/2006 12:00:00 AM","","","Technical Support","","8/8/2005","8/8/2005 12:00:00 AM","","","","","","Technical Support","","","8/18/2006","8/18/2006 12:00:00 AM","7932496990"
"1069966","SCCM","7365","1069966","PowerPoint","Office","12.0","12.0","","2007","","","yes","no","Productivity","Presentation","0","3","1069966","1069966","1/13/2009","1/13/2009 12:00:00 AM","","","Service Pack Support","","1/27/2007","1/27/2007 12:00:00 AM","","","","","","Service Pack Support","","","1/13/2009","1/13/2009 12:00:00 AM","7932496990"
"1070519","SCCM","7365","1070519","Internet Information Services (IIS)","","6.0","6.0","","6","","","no","no","Middleware","Web Servers","0","1","1070519","1070519","7/13/2010","7/13/2010 12:00:00 AM","","","Mainstream Support","","5/28/2003","5/28/2003 12:00:00 AM","","","","","","Extended Support","","","7/14/2015","7/14/2015 12:00:00 AM","7932496990"
"1134002","SCCM","1133969","","PDF Editor","","","","","","","","","no","Utilities","File Managers","0","2","","","","","","","","","","","","","","","","","","","","","7932496990"
"1135770","SCCM","9030","1135770","SnagIt","","6.0","6.0","","6","","","yes","no","Multimedia & Graphics","Graphics and Image Editing","0","3","1135770","1135770","7/1/2012","7/1/2012 12:00:00 AM","","","Technical Support","","11/12/2001","11/12/2001 12:00:00 AM","","","","","","Technical Support","","","7/1/2012","7/1/2012 12:00:00 AM","7932496990"
"1138662","SCCM","7365","1138662","Messenger","Windows","4","4.7","","4","","","no","no","Collaboration","Instant Messaging","0","5","1138662","1138662","4/2013","4/1/2013 12:00:00 AM","","","Service Life Support","","8/2002","8/1/2002 12:00:00 AM","","","","","","Service Life Support","","","4/2013","4/1/2013 12:00:00 AM","7932496990"
"1141749","SCCM","7365","1141749","Access","Office","12.0","12.0","","2007","","","yes","no","Database Management Systems (DBMS)","Relational Database","0","3","1141749","1141749","1/13/2009","1/13/2009 12:00:00 AM","","","Service Pack Support","","1/27/2007","1/27/2007 12:00:00 AM","","","","","","Service Pack Support","","","1/13/2009","1/13/2009 12:00:00 AM","7932496990"
"1161027","SCCM","7365","1161027","Word","Office","12.0","12.0","","2007","","","yes","no","Productivity","Word Processors","0","4","1161027","1161027","1/13/2009","1/13/2009 12:00:00 AM","","","Service Pack Support","","1/27/2007","1/27/2007 12:00:00 AM","","","","","","Service Pack Support","","","1/13/2009","1/13/2009 12:00:00 AM","7932496990"
"1175018","SCCM","7365","1175018","Publisher","Office","12.0","12.0","","2007","","","yes","no","Multimedia & Graphics","Desktop Publishing (DTP)","0","3","1175018","1175018","1/13/2009","1/13/2009 12:00:00 AM","","","Service Pack Support","","1/27/2007","1/27/2007 12:00:00 AM","","","","","","Service Pack Support","","","1/13/2009","1/13/2009 12:00:00 AM","7932496990"
"1178277","SCCM","7365","1178277","Visual J#","","8.0","8.0","","2005","","","yes","no","Software Development","Application Architecture and Design","0","50","1178277","1178277","4/12/2011","4/12/2011 12:00:00 AM","","","Mainstream Support","","1/14/2006","1/14/2006 12:00:00 AM","","","","","","Extended Support","","","4/12/2016","4/12/2016 12:00:00 AM","7932496990"
"1193353","SCCM","6536","","SQLcheck","","","","","","","","","no","IT Management","Alerts and Monitoring Tools","0","1","","","","","","","","","","","","","","","","","","","","","7932496990"
"1070523","SCCM","7365","1070523","Internet Information Services (IIS)","","7.0","7.0","","7","","","no","no","Middleware","Web Servers","0","7","1070523","1070523","1/13/2015","1/13/2015 12:00:00 AM","","","Mainstream Support","","1/25/2007","1/25/2007 12:00:00 AM","","","","","","Extended Support","","","1/14/2020","1/14/2020 12:00:00 AM","7932496990"
"1078690","SCCM","593620","1078690","Firefox","","2.0","2.0","","2.x","","","no","no","Productivity","Web Browsers","0","1","1078690","1078690","12/18/2008","12/18/2008 12:00:00 AM","","","Open Source Support","","10/24/2006","10/24/2006 12:00:00 AM","","","","","","Open Source Support","","","12/18/2008","12/18/2008 12:00:00 AM","7932496990"
"1098562","SCCM","1062101","","Marquee","","","","","","","","","no","Investment","Market Data Management","0","1","","","","","","","","","","","","","","","","","","","","","7932496990"
"1122614","SCCM","922971","1122614","WinSCP","","4.0","4.0","","4","","","no","no","Enterprise Content Management (ECM)","Content Delivery and Distribution","0","2","1122614","1122614","Not Available","","","","Open Source Support","Open-source support only: no specific date(s)","4/7/2007","4/7/2007 12:00:00 AM","","","","Open-source support only: no specific date(s)","","Open Source Support","","","Not Available","","7932496990"
"1140443","SCCM","7365","1140443","IntelliType Pro Keyboard Software for Windows","","1.0","1.1","","1","","","no","no","Utilities","Drivers","0","4","1140443","1140443","Not Available","","","","Mainstream Support","Date not published by vendor","1/21/2004","1/21/2004 12:00:00 AM","","","","Date not published by vendor","","Extended Support","","","Not Available","","7932496990"
"1140489","SCCM","7365","1140489","IntelliType Pro Keyboard Software for Windows","","2.0","2.2","","2","","","no","no","Utilities","Drivers","0","5","1140489","1140489","Not Available","","","","Mainstream Support","Date not published by vendor","8/20/2002","8/20/2002 12:00:00 AM","","","","Date not published by vendor","","Extended Support","","","Not Available","","7932496990"
"1141805","SCCM","7365","1141805","Excel","Office","12.0","12.0","","2007","","","yes","no","Productivity","Spreadsheets","0","8","1141805","1141805","1/13/2009","1/13/2009 12:00:00 AM","","","Service Pack Support","","1/27/2007","1/27/2007 12:00:00 AM","","","","","","Service Pack Support","","","1/13/2009","1/13/2009 12:00:00 AM","7932496990"
"1142872","SNOW","8282","","Enterprise Linux (Server)","Enterprise Linux","","","","","","","","no","Operating Systems","UNIX","0","34","","","","","","","","","","","","","","","","","","","","","7932496990"
"1161287","SCCM","7365","1161287","SQL Server","SQL Server","8.0","8.0","","2000","SP4","","yes","no","Database Management Systems (DBMS)","Relational Database","0","1","1161287","1161287","4/8/2008","4/8/2008 12:00:00 AM","","","Mainstream Support","","5/6/2005","5/6/2005 12:00:00 AM","","","","","","Extended Support","","","4/9/2013","4/9/2013 12:00:00 AM","7932496990"
"1175238","SNOW","7365","1175238","Windows Server 2003","Windows","5.2 (2003)","5.2 (2003)","Standard (32-bit x86)","2003","","","yes","no","Operating Systems","Windows","0","8","1175238","1175238","7/13/2010","7/13/2010 12:00:00 AM","","","Mainstream Support","","5/28/2003","5/28/2003 12:00:00 AM","","","","","","Extended Support","","","7/14/2015","7/14/2015 12:00:00 AM","7932496990"
"1178057","SCCM","7365","1178057","Streets & Trips","","11.0","11.0","","2004","","","yes","no","Geographic Information Systems (GIS)","Cartography/Mapping","0","1","1178057","1178057","10/10/2006","10/10/2006 12:00:00 AM","","","Mainstream Support (2-Level Policy)","","9/22/2003","9/22/2003 12:00:00 AM","","","","","","Mainstream Support (2-Level Policy)","","","10/10/2006","10/10/2006 12:00:00 AM","7932496990"
"1186110","SCCM","7365","1186110","PowerPoint Viewer","Office","11.0","11.0","","2003","","","no","no","Productivity","Presentation","0","2","1186110","1186110","12/31/2009","12/31/2009 12:00:00 AM","","","Service Life Support","","11/17/2003","11/17/2003 12:00:00 AM","","","","","","Service Life Support","","","12/31/2009","12/31/2009 12:00:00 AM","7932496990"
"1209733","SCCM","5423","","WinZip","","","","","","","","","no","Utilities","File Managers","0","2","","","","","","","","","","","","","","","","","","","","","7932496990"
"1241762","SCCM","6517","1241762","Client Software Development Kit (SDK)","Information Management - Informix","3.0","3.0","","3","","","yes","no","Software Development","Application Architecture and Design","0","3","1241762","1241762","4/30/2018","4/30/2018 12:00:00 AM","","","Technical Support (Enhanced)","","4/27/2007","4/27/2007 12:00:00 AM","","","","","","Technical Support (Enhanced)","","","4/30/2018","4/30/2018 12:00:00 AM","7932496990"
"1250103","SCCM","7365","1250103","Web Services Enhancements (WSE) for .Net Runtime","","3.0","3.0","","3","","","no","no","Utilities","Other Utilities","0","3","1250103","1250103","4/12/2011","4/12/2011 12:00:00 AM","","","Mainstream Support","","11/7/2005","11/7/2005 12:00:00 AM","","","","","","Extended Support","","","4/12/2016","4/12/2016 12:00:00 AM","7932496990"
"1269915","SCCM","7365","1269915","Windows Server 2003","Windows","5.2 (2003)","5.2 (2003)","Enterprise (32-bit x86)","2003","SP2","","yes","no","Operating Systems","Windows","0","1","1269915","1269915","7/13/2010","7/13/2010 12:00:00 AM","","","Mainstream Support","","3/13/2007","3/13/2007 12:00:00 AM","","","","","","Extended Support","","","7/14/2015","7/14/2015 12:00:00 AM","7932496990"
"1271054","SCCM","7365","1271054","Project","Office","12.0","12.0","Professional","2007","","","yes","no","Product Lifecycle Management (PLM)","Product and Portfolio Management","0","1","1271054","1271054","10/9/2012","10/9/2012 12:00:00 AM","","","Mainstream Support","","1/27/2007","1/27/2007 12:00:00 AM","","","","","","Extended Support","","","10/10/2017","10/10/2017 12:00:00 AM","7932496990"
"1271196","SCCM","7365","1271196","Visio","Office","11.0","11.0","Professional","2003","","","yes","no","Enterprise Content Management (ECM)","Workflow and Business Process Management","0","1","1271196","1271196","7/27/2005","7/27/2005 12:00:00 AM","","","Service Pack Support","","11/17/2003","11/17/2003 12:00:00 AM","","","","","","Service Pack Support","","","7/27/2005","7/27/2005 12:00:00 AM","7932496990"
"1282544","SCCM","7365","","PowerShell","Windows","","","","","","","","no","Utilities","Other Utilities","0","2","","","","","","","","","","","","","","","","","","","","","7932496990"
"1287514","SNOW","6517","1287514","AIX","","5.0","5.0","","5.0","","","yes","no","Operating Systems","UNIX","0","14","1287514","1287514","Not Available","4/1/2006 12:00:00 AM","12/31/2001 12:00:00 AM","4/1/2006 12:00:00 AM","Technical Support (Standard)","Exact date unknown: a date range is provided","10/24/2000","10/24/2000 12:00:00 AM","","","","Exact date unknown: a date range is provided","","Technical Support (Standard)","12/31/2001 12:00:00 AM","4/1/2006 12:00:00 AM","Not Available","4/1/2006 12:00:00 AM","7932496990"
"1311259","SCCM","7365","1311259","Windows Mail","Windows","6.0","6.0","","6","","","no","no","Productivity","PIM & Contact Managers","0","6","1311259","1311259","4/10/2012","4/10/2012 12:00:00 AM","","","Mainstream Support","","1/25/2007","1/25/2007 12:00:00 AM","","","","","","Extended Support","","","4/11/2017","4/11/2017 12:00:00 AM","7932496990"
"1319367","SCCM","6720","","PROSet/Wireless Software","","","","","","","","","no","IT Management","Network Performance Management","0","77","","","","","","","","","","","","","","","","","","","","","7932496990"
"1332654","SCCM","5423","1332654","WinZip","","8.0","8.0","","8.0","","","yes","no","Utilities","File Managers","0","3","1332654","1332654","12/2004","12/1/2004 12:00:00 AM","","","Classic Support","","4/25/2000","4/25/2000 12:00:00 AM","","","","","","Premium Support","","","12/2004","12/1/2004 12:00:00 AM","7932496990"
"1342417","SCCM","1342323","","Nmap (Network Mapper)","","","","","","","","","no","IT Management","Network Performance Management","0","1","","","","","","","","","","","","","","","","","","","","","7932496990"
"1377892","SCCM","594406","","Python","","","","","","","","","no","Software Development","Application Architecture and Design","0","2","","","","","","","","","","","","","","","","","","","","","7932496990"
"1407567","SCCM","593620","1407567","Firefox","","3.0","3.0","","3.x","","","no","no","Productivity","Web Browsers","0","3","1407567","1407567","3/30/2010","3/30/2010 12:00:00 AM","","","Open Source Support","","6/17/2008","6/17/2008 12:00:00 AM","","","","","","Open Source Support","","","3/30/2010","3/30/2010 12:00:00 AM","7932496990"
"1408330","SCCM","1407434","","TFTP Server","","","","","","","","","no","Enterprise Content Management (ECM)","Content Delivery and Distribution","0","1","","","","","","","","","","","","","","","","","","","","","7932496990"
"1408352","SCCM","1407434","","Real-time NetFlow Analyzer","","","","","","","","","no","IT Management","Network Performance Management","0","1","","","","","","","","","","","","","","","","","","","","","7932496990"
"1524856","SCCM","1524848","","KeePass","","","","","","","","","no","Security","Data Security and Encryption","0","1","","","","","","","","","","","","","","","","","","","","","7932496990"
"1527752","SCCM","1527669","","Dia","","","","","","","","","no","Multimedia & Graphics","Graphics and Image Editing","0","1","","","","","","","","","","","","","","","","","","","","","7932496990"
"1604224","SCCM","7365","1604224","Windows Server 2008","Windows","6.0","6.0","Enterprise (32-bit x86)","2008","SP2","","yes","no","Operating Systems","Windows","0","1","1604224","1604224","1/13/2015","1/13/2015 12:00:00 AM","","","Mainstream Support","","4/29/2009","4/29/2009 12:00:00 AM","","","","","","Extended Support","","","1/14/2020","1/14/2020 12:00:00 AM","7932496990"
"1660996","SCCM","7365","1660996",".NET Framework SDK","Visual Studio","2.0","2.0","","2","","","no","no","Software Development","Application Architecture and Design","0","1","1660996","1660996","7/12/2011","7/12/2011 12:00:00 AM","","","Mainstream Support (2-Level Policy)","","11/29/2006","11/29/2006 12:00:00 AM","","","","","","Mainstream Support (2-Level Policy)","","","7/12/2011","7/12/2011 12:00:00 AM","7932496990"
"1662715","SCCM","7365","1662715","Application Verifier","","4.0","4.0","","4","","","no","no","Software Development","Application Architecture and Design","0","2","1662715","1662715","Not Available","","","","Mainstream Support","Date not published by vendor","12/8/2008","12/8/2008 12:00:00 AM","","","","Date not published by vendor","","Extended Support","","","Not Available","","7932496990"
"1664199","SCCM","7365","1664199","Compact Framework",".NET","3.5","3.5","","3","","","no","no","Software Development","Application Architecture and Design","0","7","1664199","1664199","7/12/2011","7/12/2011 12:00:00 AM","","","Mainstream Support (2-Level Policy)","","11/19/2007","11/19/2007 12:00:00 AM","","","","","","Mainstream Support (2-Level Policy)","","","7/12/2011","7/12/2011 12:00:00 AM","7932496990"
"1664286","SCCM","7365","1664286","Device Emulator","Visual Studio","1.0","1.0","","1","","","no","no","Software Development","Application Architecture and Design","0","1","1664286","1664286","4/12/2011","4/12/2011 12:00:00 AM","","","Mainstream Support","","5/17/2006","5/17/2006 12:00:00 AM","","","","","","Extended Support","","","4/12/2016","4/12/2016 12:00:00 AM","7932496990"
"1701043","SCCM","7365","1701043","FxCop","","1.0","1.36","","1","","","no","no","Software Development","Application Testing and QA","0","1","1701043","1701043","1/13/2015","1/13/2015 12:00:00 AM","","","Mainstream Support","","8/19/2008","8/19/2008 12:00:00 AM","","","","","","Extended Support","","","1/14/2020","1/14/2020 12:00:00 AM","7932496990"
"1703367","SCCM","1658967","","TeraCopy","","","","","","","","","no","Utilities","File Managers","0","1","","","","","","","","","","","","","","","","","","","","","7932496990"
"1712182","SCCM","7365","1712182","Macro Assembler","","9.0","9.0","","9","","","no","no","Software Development","Application Architecture and Design","0","4","1712182","1712182","4/9/2013","4/9/2013 12:00:00 AM","","","Mainstream Support","","2/19/2008","2/19/2008 12:00:00 AM","","","","","","Extended Support","","","4/10/2018","4/10/2018 12:00:00 AM","7932496990"
"1712207","SCCM","7365","1712207","MDAC Utility: Component Checker","","2.0","2.0","","2","","","no","no","Utilities","Other Utilities","0","1","1712207","1712207","Not Available","12/31/2999 12:00:00 AM","","","Mainstream Support","To be determined","12/1/2008","12/1/2008 12:00:00 AM","","","","To be determined","","Extended Support","","","Not Available","12/31/2999 12:00:00 AM","7932496990"
"1713202","SCCM","7365","1713202","Mobile Device Center","Windows","6.0","6.1","","6","","","no","no","Utilities","Synchronization Tools","0","6","1713202","1713202","7/10/2012","7/10/2012 12:00:00 AM","","","Mainstream Support (2-Level Policy)","","6/2007","6/1/2007 12:00:00 AM","","","","","","Mainstream Support (2-Level Policy)","","","7/10/2012","7/10/2012 12:00:00 AM","7932496990"
"1714791","SCCM","7365","1714791","SQL Server","SQL Server","9.0","9.0","","2005","","","yes","no","Database Management Systems (DBMS)","Relational Database","0","10","1714791","1714791","4/12/2011","4/12/2011 12:00:00 AM","","","Mainstream Support","","1/14/2006","1/14/2006 12:00:00 AM","","","","","","Extended Support","","","4/12/2016","4/12/2016 12:00:00 AM","7932496990"
