"name","data_source","correlation_id","model_number","model_id_id","serial_number","memory","cpus","sys_domain","disks_size","manufacturer_id","data_token","is_deleted"
"BDNASC20164","SCCM","SCCM_SERIALSC20164BDNACORP\BDNASC20164","","","SERIALSC20164","33553912","3","BDNACORP","1179.9","9569","7932496990","false"
"BDNASC20174","SCCM","SCCM_SERIALSC20174BDNACORP\BDNASC20174","","","SERIALSC20174","4193784","2","BDNACORP","59.9","9569","7932496990","false"
"BDNASC20175","SCCM","SCCM_SERIALSC20175BDNACORP\BDNASC20175","","","SERIALSC20175","4193784","2","BDNACORP","114.9","9569","7932496990","false"
"BDNASC20178","SCCM","SCCM_SERIALSC20178BDNACORP\BDNASC20178","","","SERIALSC20178","16776756","4","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20179","SCCM","SCCM_SERIALSC20179BDNACORP\BDNASC20179","","","SERIALSC20179","8388148","2","BDNACORP","119.7","9569","7932496990","false"
"BDNASC20180","SCCM","SCCM_SERIALSC20180BDNACORP\BDNASC20180","","","SERIALSC20180","6291000","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20185","SCCM","SCCM_SERIALSC20185BDNACORP\BDNASC20185","","","SERIALSC20185","31456820","2","BDNACORP","119.5","9569","7932496990","false"
"BDNASC20186","SCCM","SCCM_SERIALSC20186BDNACORP\BDNASC20186","","","SERIALSC20186","16776756","2","BDNACORP","119.5","9569","7932496990","false"
"BDNASC20189","SCCM","SCCM_SERIALSC20189BDNACORP\BDNASC20189","","","SERIALSC20189","4193784","2","BDNACORP","59.9","9569","7932496990","false"
"BDNASC20192","SCCM","SCCM_SERIALSC20192BDNACORP\BDNASC20192","","","SERIALSC20192","8388152","2","BDNACORP","89.9","9569","7932496990","false"
"BDNASC20194","SCCM","SCCM_SERIALSC20194BDNACORP\BDNASC20194","","","SERIALSC20194","8388148","1","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20197","SCCM","SCCM_SERIALSC20197BDNACORP\BDNASC20197","","","SERIALSC20197","12582392","2","BDNACORP","99.9","9569","7932496990","false"
"BDNASC20198","SCCM","SCCM_SERIALSC20198BDNACORP\BDNASC20198","","","SERIALSC20198","16776756","4","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20203","SCCM","SCCM_SERIALSC20203BDNACORP\BDNASC20203","","","SERIALSC20203","67108404","4","BDNACORP","1344.6","9569","7932496990","false"
"BDNASC20204","SCCM","SCCM_SERIALSC20204BDNACORP\BDNASC20204","","","SERIALSC20204","4193844","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20206","SCCM","SCCM_SERIALSC20206BDNACORP\BDNASC20206","","","SERIALSC20206","16776756","2","BDNACORP","679.7","9569","7932496990","false"
"BDNASC20209","SCCM","SCCM_SERIALSC20209BDNACORP\BDNASC20209","","","SERIALSC20209","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20210","SCCM","SCCM_SERIALSC20210BDNACORP\BDNASC20210","","","SERIALSC20210","16776696","4","BDNACORP","209.9","9569","7932496990","false"
"BDNASC20215","SCCM","SCCM_SERIALSC20215BDNACORP\BDNASC20215","","","SERIALSC20215","6291000","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20217","SCCM","SCCM_SERIALSC20217BDNACORP\BDNASC20217","","","SERIALSC20217","4193784","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20221","SCCM","SCCM_SERIALSC20221BDNACORP\BDNASC20221","","","SERIALSC20221","4193848","1","BDNACORP","99.9","9569","7932496990","false"
"BDNASC20222","SCCM","SCCM_SERIALSC20222BDNACORP\BDNASC20222","","","SERIALSC20222","16776756","2","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20225","SCCM","SCCM_SERIALSC20225BDNACORP\BDNASC20225","","","SERIALSC20225","16776756","2","BDNACORP","119.5","9569","7932496990","false"
"BDNASC20228","SCCM","SCCM_SERIALSC20228BDNACORP\BDNASC20228","","","SERIALSC20228","16776756","4","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20230","SCCM","SCCM_SERIALSC20230BDNACORP\BDNASC20230","","","SERIALSC20230","8388148","2","BDNACORP","99.5","9569","7932496990","false"
"BDNASC20237","SCCM","SCCM_SERIALSC20237BDNACORP\BDNASC20237","","","SERIALSC20237","8388152","1","BDNACORP","39.7","9569","7932496990","false"
"BDNASC20239","SCCM","SCCM_SERIALSC20239BDNACORP\BDNASC20239","","","SERIALSC20239","4193784","2","BDNACORP","119.9","9569","7932496990","false"
"BDNASC20240","SCCM","SCCM_SERIALSC20240BDNACORP\BDNASC20240","","","SERIALSC20240","4193784","2","BDNACORP","459.9","9569","7932496990","false"
"BDNASC20243","SCCM","SCCM_SERIALSC20243BDNACORP\BDNASC20243","","","SERIALSC20243","16776756","2","BDNACORP","179.7","9569","7932496990","false"
"BDNASC20244","SCCM","SCCM_SERIALSC20244BDNACORP\BDNASC20244","","","SERIALSC20244","4193784","2","BDNACORP","119.9","9569","7932496990","false"
"BDNASC20248","SCCM","SCCM_SERIALSC20248BDNACORP\BDNASC20248","","","SERIALSC20248","4193784","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20250","SCCM","SCCM_SERIALSC20250BDNACORP\BDNASC20250","","","SERIALSC20250","16776756","2","BDNACORP","1454.6","9569","7932496990","false"
"BDNASC20251","SCCM","SCCM_SERIALSC20251BDNACORP\BDNASC20251","","","SERIALSC20251","8388148","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20255","SCCM","SCCM_SERIALSC20255BDNACORP\BDNASC20255","","","SERIALSC20255","4193848","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20256","SCCM","SCCM_SERIALSC20256BDNACORP\BDNASC20256","","","SERIALSC20256","67108404","4","BDNACORP","449.6","9569","7932496990","false"
"BDNASC20258","SCCM","SCCM_SERIALSC20258BDNACORP\BDNASC20258","","","SERIALSC20258","8388088","1","BDNACORP","129.9","9569","7932496990","false"
"BDNASC20260","SCCM","SCCM_SERIALSC20260BDNACORP\BDNASC20260","","","SERIALSC20260","8388152","4","BDNACORP","89.9","9569","7932496990","false"
"BDNASC20263","SCCM","SCCM_SERIALSC20263BDNACORP\BDNASC20263","","","SERIALSC20263","4193848","2","BDNACORP","99.9","9569","7932496990","false"
"BDNASC20267","SCCM","SCCM_SERIALSC20267BDNACORP\BDNASC20267","","","SERIALSC20267","12582392","2","BDNACORP","99.9","9569","7932496990","false"
"BDNASC20268","SCCM","SCCM_SERIALSC20268BDNACORP\BDNASC20268","","","SERIALSC20268","31456820","2","BDNACORP","119.5","9569","7932496990","false"
"BDNASC20270","SCCM","SCCM_SERIALSC20270BDNACORP\BDNASC20270","","","SERIALSC20270","6291000","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20271","SCCM","SCCM_SERIALSC20271BDNACORP\BDNASC20271","","","SERIALSC20271","8388148","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20272","SCCM","SCCM_SERIALSC20272BDNACORP\BDNASC20272","","","SERIALSC20272","16776756","2","BDNACORP","329.5","9569","7932496990","false"
"BDNASC20278","SCCM","SCCM_SERIALSC20278BDNACORP\BDNASC20278","","","SERIALSC20278","16776756","2","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20279","SCCM","SCCM_SERIALSC20279BDNACORP\BDNASC20279","","","SERIALSC20279","4193784","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20282","SCCM","SCCM_SERIALSC20282BDNACORP\BDNASC20282","","","SERIALSC20282","16776756","2","BDNACORP","179.7","9569","7932496990","false"
"BDNASC20289","SCCM","SCCM_SERIALSC20289BDNACORP\BDNASC20289","","","SERIALSC20289","8388152","4","BDNACORP","159.9","9569","7932496990","false"
"BDNASC20290","SCCM","SCCM_SERIALSC20290BDNACORP\BDNASC20290","","","SERIALSC20290","8388148","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20298","SCCM","SCCM_SERIALSC20298BDNACORP\BDNASC20298","","","SERIALSC20298","4193844","2","BDNACORP","124.6","9569","7932496990","false"
"BDNASC20299","SCCM","SCCM_SERIALSC20299BDNACORP\BDNASC20299","","","SERIALSC20299","16776760","2","BDNACORP","139.9","9569","7932496990","false"
"BDNASC20300","SCCM","SCCM_SERIALSC20300BDNACORP\BDNASC20300","","","SERIALSC20300","16776756","2","BDNACORP","379.7","9569","7932496990","false"
"BDNASC20303","SCCM","SCCM_SERIALSC20303BDNACORP\BDNASC20303","","","SERIALSC20303","4193844","2","BDNACORP","99.7","9569","7932496990","false"
"BDNASC20305","SCCM","SCCM_SERIALSC20305BDNACORP\BDNASC20305","","","SERIALSC20305","4193784","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20309","SCCM","SCCM_SERIALSC20309BDNACORP\BDNASC20309","","","SERIALSC20309","68156920","2","BDNACORP","774.9","9569","7932496990","false"
"BDNASC20314","SCCM","SCCM_SERIALSC20314BDNACORP\BDNASC20314","","","SERIALSC20314","4193784","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20315","SCCM","SCCM_SERIALSC20315BDNACORP\BDNASC20315","","","SERIALSC20315","2096696","2","BDNACORP","59.9","9569","7932496990","false"
"BDNASC20327","SCCM","SCCM_SERIALSC20327BDNACORP\BDNASC20327","","","SERIALSC20327","4193844","2","BDNACORP","79.7","9569","7932496990","false"
"BDNASC20331","SCCM","SCCM_SERIALSC20331BDNACORP\BDNASC20331","","","SERIALSC20331","16776756","2","BDNACORP","119.5","9569","7932496990","false"
"BDNASC20335","SCCM","SCCM_SERIALSC20335BDNACORP\BDNASC20335","","","SERIALSC20335","8388148","2","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20339","SCCM","SCCM_SERIALSC20339BDNACORP\BDNASC20339","","","SERIALSC20339","4193844","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20349","SCCM","SCCM_SERIALSC20349BDNACORP\BDNASC20349","","","SERIALSC20349","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20350","SCCM","SCCM_SERIALSC20350BDNACORP\BDNASC20350","","","SERIALSC20350","16776756","2","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20356","SCCM","SCCM_SERIALSC20356BDNACORP\BDNASC20356","","","SERIALSC20356","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20360","SCCM","SCCM_SERIALSC20360BDNACORP\BDNASC20360","","","SERIALSC20360","4193844","1","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20361","SCCM","SCCM_SERIALSC20361BDNACORP\BDNASC20361","","","SERIALSC20361","6290996","1","BDNACORP","99.7","9569","7932496990","false"
"BDNASC20362","SCCM","SCCM_SERIALSC20362BDNACORP\BDNASC20362","","","SERIALSC20362","4193844","1","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20363","SCCM","SCCM_SERIALSC20363BDNACORP\BDNASC20363","","","SERIALSC20363","6291000","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20364","SCCM","SCCM_SERIALSC20364BDNACORP\BDNASC20364","","","SERIALSC20364","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20368","SCCM","SCCM_SERIALSC20368BDNACORP\BDNASC20368","","","SERIALSC20368","4193844","2","BDNACORP","119.7","9569","7932496990","false"
"BDNASC20372","SCCM","SCCM_SERIALSC20372BDNACORP\BDNASC20372","","","SERIALSC20372","4193848","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20373","SCCM","SCCM_SERIALSC20373BDNACORP\BDNASC20373","","","SERIALSC20373","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20374","SCCM","SCCM_SERIALSC20374BDNACORP\BDNASC20374","","","SERIALSC20374","4193784","2","BDNACORP","159.9","9569","7932496990","false"
"BDNASC20375","SCCM","SCCM_SERIALSC20375BDNACORP\BDNASC20375","","","SERIALSC20375","2095900","1","BDNACORP","80","9569","7932496990","false"
"BDNASC20378","SCCM","SCCM_SERIALSC20378BDNACORP\BDNASC20378","","","SERIALSC20378","8388148","1","BDNACORP","109.5","9569","7932496990","false"
"BDNASC20379","SCCM","SCCM_SERIALSC20379BDNACORP\BDNASC20379","","","SERIALSC20379","4193844","2","BDNACORP","119.7","9569","7932496990","false"
"BDNASC20381","SCCM","SCCM_SERIALSC20381BDNACORP\BDNASC20381","","","SERIALSC20381","6290996","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20390","SCCM","SCCM_SERIALSC20390BDNACORP\BDNASC20390","","","SERIALSC20390","12582452","2","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20393","SCCM","SCCM_SERIALSC20393BDNACORP\BDNASC20393","","","SERIALSC20393","4193784","2","BDNACORP","139.9","9569","7932496990","false"
"BDNASC20400","SCCM","SCCM_SERIALSC20400BDNACORP\BDNASC20400","","","SERIALSC20400","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20404","SCCM","SCCM_SERIALSC20404BDNACORP\BDNASC20404","","","SERIALSC20404","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20406","SCCM","SCCM_SERIALSC20406BDNACORP\BDNASC20406","","","SERIALSC20406","4193784","2","BDNACORP","59.9","9569","7932496990","false"
"BDNASC20407","SCCM","SCCM_SERIALSC20407BDNACORP\BDNASC20407","","","SERIALSC20407","4193784","2","BDNACORP","59.9","9569","7932496990","false"
"BDNASC20413","SCCM","SCCM_SERIALSC20413BDNACORP\BDNASC20413","","","SERIALSC20413","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20416","SCCM","SCCM_SERIALSC20416BDNACORP\BDNASC20416","","","SERIALSC20416","16776756","2","BDNACORP","119.5","9569","7932496990","false"
"BDNASC20423","SCCM","SCCM_SERIALSC20423BDNACORP\BDNASC20423","","","SERIALSC20423","4193844","1","BDNACORP","139.7","9569","7932496990","false"
"BDNASC20430","SCCM","SCCM_SERIALSC20430BDNACORP\BDNASC20430","","","SERIALSC20430","4193844","1","BDNACORP","559.7","9569","7932496990","false"
"BDNASC20433","SCCM","SCCM_SERIALSC20433BDNACORP\BDNASC20433","","","SERIALSC20433","16776756","4","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20443","SCCM","SCCM_SERIALSC20443BDNACORP\BDNASC20443","","","SERIALSC20443","8388088","1","BDNACORP","119.9","9569","7932496990","false"
"BDNASC20454","SCCM","SCCM_SERIALSC20454BDNACORP\BDNASC20454","","","SERIALSC20454","4193848","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20456","SCCM","SCCM_SERIALSC20456BDNACORP\BDNASC20456","","","SERIALSC20456","4193496","4","BDNACORP","255","9569","7932496990","false"
"BDNASC20458","SCCM","SCCM_SERIALSC20458BDNACORP\BDNASC20458","","","SERIALSC20458","4193844","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20464","SCCM","SCCM_SERIALSC20464BDNACORP\BDNASC20464","","","SERIALSC20464","8388148","2","BDNACORP","69.6","9569","7932496990","false"
"BDNASC20470","SCCM","SCCM_SERIALSC20470BDNACORP\BDNASC20470","","","SERIALSC20470","16776756","4","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20474","SCCM","SCCM_SERIALSC20474BDNACORP\BDNASC20474","","","SERIALSC20474","25165364","2","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20476","SCCM","SCCM_SERIALSC20476BDNACORP\BDNASC20476","","","SERIALSC20476","8388152","4","BDNACORP","89.9","9569","7932496990","false"
"BDNASC20498","SCCM","SCCM_SERIALSC20498BDNACORP\BDNASC20498","","","SERIALSC20498","16776756","4","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20502","SCCM","SCCM_SERIALSC20502BDNACORP\BDNASC20502","","","SERIALSC20502","16776756","4","BDNACORP","379.7","9569","7932496990","false"
"BDNASC20510","SCCM","SCCM_SERIALSC20510BDNACORP\BDNASC20510","","","SERIALSC20510","4193784","2","BDNACORP","59.9","9569","7932496990","false"
"BDNASC20513","SCCM","SCCM_SERIALSC20513BDNACORP\BDNASC20513","","","SERIALSC20513","6291000","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20515","SCCM","SCCM_SERIALSC20515BDNACORP\BDNASC20515","","","SERIALSC20515","6290012","2","BDNACORP","90","9569","7932496990","false"
"BDNASC20518","SCCM","SCCM_SERIALSC20518BDNACORP\BDNASC20518","","","SERIALSC20518","8388088","2","BDNACORP","99.9","9569","7932496990","false"
"BDNASC20524","SCCM","SCCM_SERIALSC20524BDNACORP\BDNASC20524","","","SERIALSC20524","4193784","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20525","SCCM","SCCM_SERIALSC20525BDNACORP\BDNASC20525","","","SERIALSC20525","4193844","1","BDNACORP","109.7","9569","7932496990","false"
"BDNASC20527","SCCM","SCCM_SERIALSC20527BDNACORP\BDNASC20527","","","SERIALSC20527","8388088","2","BDNACORP","129.9","9569","7932496990","false"
"BDNASC20530","SCCM","SCCM_SERIALSC20530BDNACORP\BDNASC20530","","","SERIALSC20530","4193784","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20532","SCCM","SCCM_SERIALSC20532BDNACORP\BDNASC20532","","","SERIALSC20532","8388152","2","BDNACORP","279.4","9569","7932496990","false"
"BDNASC20533","SCCM","SCCM_SERIALSC20533BDNACORP\BDNASC20533","","","SERIALSC20533","4193784","2","BDNACORP","119.9","9569","7932496990","false"
"BDNASC20534","SCCM","SCCM_SERIALSC20534BDNACORP\BDNASC20534","","","SERIALSC20534","16776756","1","BDNACORP","109.7","9569","7932496990","false"
"BDNASC20535","SCCM","SCCM_SERIALSC20535BDNACORP\BDNASC20535","","","SERIALSC20535","6291000","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20537","SCCM","SCCM_SERIALSC20537BDNACORP\BDNASC20537","","","SERIALSC20537","8388088","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20538","SCCM","SCCM_SERIALSC20538BDNACORP\BDNASC20538","","","SERIALSC20538","4193848","2","BDNACORP","159.9","9569","7932496990","false"
"BDNASC20539","SCCM","SCCM_SERIALSC20539BDNACORP\BDNASC20539","","","SERIALSC20539","12582452","2","BDNACORP","159.7","9569","7932496990","false"
