"data_source","model_number","manufacturer_id","name","category","subcategory","hwid","CAT_HW_PRODUCT_ID","CAT_HW_MODEL_ID","hw_model_lc_id","introduction","introduction_date","introduction_exception","introduction_range_start","introduction_range_end","general_availability","general_availability_date","ga_exception","ga_range_start","ga_range_end","last_availability","last_availability_date","last_availability_exception","last_availability_range_start","last_availability_range_end","obsolete","obsolete_date","obsolete_exception","obsolete_range_start","obsolete_range_end","to_be_deleted","DELETE_REASON","data_token"
"SCCM","7010","442549357","OptiPlex","Computers","Desktops","10338177281033818361","1033817728","1033818361","1033818361","05/31/2012","5/31/2012 12:00:00 AM","","","","05/31/2012","5/31/2012 12:00:00 AM","Date not published by vendor","","","12/31/2015","12/31/2015 12:00:00 AM","","","","07/01/2020","7/1/2020 12:00:00 AM","","","","","","7932496990"
"SCCM","7020","442549357","OptiPlex","Computers","Desktops","10338177281033818411","1033817728","1033818411","1033818411","12/31/2014","12/31/2014 12:00:00 AM","","","","12/31/2014","12/31/2014 12:00:00 AM","Date not published by vendor","","","-","","Date not published by vendor","","","07/01/2021","7/1/2021 12:00:00 AM","","","","","","7932496990"
"SCCM","7040","442549357","OptiPlex","Computers","Desktops","10338177281033818100","1033817728","1033818100","1033818100","10/20/2015","10/20/2015 12:00:00 AM","","","","11/01/2015","11/1/2015 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","7370","442549357","Latitude","Computers","Notebooks","10338176481033819318","1033817648","1033819318","1033819318","01/06/2016","1/6/2016 12:00:00 AM","","","","03/08/2016","3/8/2016 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","7510","442549357","Precision Mobile Workstation","Computers","Workstations","10338176931033819597","1033817693","1033819597","1033819597","10/01/2015","10/1/2015 12:00:00 AM","","","","10/01/2015","10/1/2015 12:00:00 AM","","","","12/31/2999","12/31/2999 12:00:00 AM","To be determined","","","12/31/2999","12/31/2999 12:00:00 AM","To be determined","","","","","7932496990"
"SCCM","800 G2 SFF","213049949","EliteDesk 800 G2 Series","Computers","Desktops","236036494236129576","236036494","236129576","236129576","09/29/2015","9/29/2015 12:00:00 AM","","","","09/30/2015","9/30/2015 12:00:00 AM","","","","03/13/2020","3/13/2020 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","800 G2 TWR","213049949","EliteDesk 800 G2 Series","Computers","Desktops","236036494236129577","236036494","236129577","236129577","09/29/2015","9/29/2015 12:00:00 AM","","","","09/30/2015","9/30/2015 12:00:00 AM","","","","03/13/2020","3/13/2020 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","8000 CMT","213049949","Elite Desktop PC","Computers","Desktops","236034525236090107","236034525","236090107","236090107","12/01/2009","12/1/2009 12:00:00 AM","","","","12/01/2009","12/1/2009 12:00:00 AM","","","","06/27/2012","6/27/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","8000 SFF","213049949","Elite Desktop PC","Computers","Desktops","236034525236090110","236034525","236090110","236090110","12/01/2009","12/1/2009 12:00:00 AM","","","","12/01/2009","12/1/2009 12:00:00 AM","","","","06/27/2012","6/27/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","8100 SFF","213049949","Elite Desktop PC","Computers","Desktops","236034525236094605","236034525","236094605","236094605","01/06/2010","1/6/2010 12:00:00 AM","","","","02/01/2010","2/1/2010 12:00:00 AM","","","","06/27/2012","6/27/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","8200 CMT","213049949","Elite Desktop PC","Computers","Desktops","236034525236048955","236034525","236048955","236048955","01/04/2011","1/4/2011 12:00:00 AM","","","","03/07/2011","3/7/2011 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","8200 SFF","213049949","Elite Desktop PC","Computers","Desktops","236034525236042557","236034525","236042557","236042557","01/04/2011","1/4/2011 12:00:00 AM","","","","03/07/2011","3/7/2011 12:00:00 AM","","","","03/13/2020","3/13/2020 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","8440p","213049949","EliteBook Notebook PC","Computers","Notebooks","236034923236094899","236034923","236094899","236094899","01/06/2010","1/6/2010 12:00:00 AM","","","","02/01/2010","2/1/2010 12:00:00 AM","","","","06/15/2012","6/15/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","8460p","213049949","EliteBook Notebook PC","Computers","Notebooks","236034923236126224","236034923","236126224","236126224","02/23/2011","2/23/2011 12:00:00 AM","","","","03/15/2011","3/15/2011 12:00:00 AM","","","","12/02/2012","12/2/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","8710p","213049949","Compaq 8700 Notebook PC","Computers","Notebooks","236034488236094788","236034488","236094788","236094788","05/09/2007","5/9/2007 12:00:00 AM","","","","07/01/2007","7/1/2007 12:00:00 AM","","","","11/03/2010","11/3/2010 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","8740w","213049949","EliteBook Mobile Workstation","Computers","Notebooks","236034926236094889","236034926","236094889","236094889","03/24/2010","3/24/2010 12:00:00 AM","","","","04/01/2010","4/1/2010 12:00:00 AM","","","","06/15/2012","6/15/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","8760w","213049949","EliteBook Mobile Workstation","Computers","Notebooks","236034926236126221","236034926","236126221","236126221","04/12/2011","4/12/2011 12:00:00 AM","","","","05/01/2011","5/1/2011 12:00:00 AM","","","","03/01/2013","3/1/2013 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","9010","442549357","OptiPlex","Computers","Desktops","10338177281033818287","1033817728","1033818287","1033818287","05/31/2012","5/31/2012 12:00:00 AM","","","","08/31/2012","8/31/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","06/30/2019","6/30/2019 12:00:00 AM","","","","","","7932496990"
"SCCM","B200 M3","5220","UCS B-Series","Computers","Servers","1492747429585708","14927474","29585708","29585708","03/06/2012","3/6/2012 12:00:00 AM","","","","03/06/2012","3/6/2012 12:00:00 AM","Date not published by vendor","","","03/31/2017","3/31/2017 12:00:00 AM","","","","12/31/2021","12/31/2021 12:00:00 AM","","","","","","7932496990"
"SCCM","B200 M4","5220","UCS B-Series","Computers","Servers","1492747499959431","14927474","99959431","99959431","09/04/2014","9/4/2014 12:00:00 AM","","","","09/04/2014","9/4/2014 12:00:00 AM","Date not published by vendor","","","05/15/2019","5/15/2019 12:00:00 AM","","","","02/29/2024","2/29/2024 12:00:00 AM","","","","","","7932496990"
"SCCM","BL460c G1","213050000","ProLiant BL460c G1 Server Blade","Computers","Servers","236415340490284061","236415340","490284061","490284061","06/14/2006","6/14/2006 12:00:00 AM","","","","07/01/2006","7/1/2006 12:00:00 AM","","","","03/05/2010","3/5/2010 12:00:00 AM","","","","03/05/2015","3/5/2015 12:00:00 AM","","","","","","7932496990"
"SCCM","BL460c G6","213050000","ProLiant BL460c G6 Server Blade","Computers","Servers","236415293490284175","236415293","490284175","490284175","03/30/2009","3/30/2009 12:00:00 AM","","","","03/30/2009","3/30/2009 12:00:00 AM","","","","06/30/2011","6/30/2011 12:00:00 AM","","","","06/30/2016","6/30/2016 12:00:00 AM","","","","","","7932496990"
"SCCM","BL465c G6","213050000","ProLiant BL465c G6 Server Blade","Computers","Servers","236415295490284787","236415295","490284787","490284787","06/02/2009","6/2/2009 12:00:00 AM","","","","06/02/2009","6/2/2009 12:00:00 AM","Date not published by vendor","","","12/31/2010","12/31/2010 12:00:00 AM","","","","12/31/2015","12/31/2015 12:00:00 AM","","","","","","7932496990"
"SCCM","C210 M2","5220","UCS C-Series","Computers","Servers","2041298120412982","20412981","20412982","20412982","03/16/2010","3/16/2010 12:00:00 AM","","","","03/16/2010","3/16/2010 12:00:00 AM","Date not published by vendor","","","01/31/2013","1/31/2013 12:00:00 AM","","","","11/30/2017","11/30/2017 12:00:00 AM","","","","","","7932496990"
"SCCM","dc7700 CMT","213049949","Compaq Business Desktop PC","Computers","Desktops","236034388236095057","236034388","236095057","236095057","09/06/2006","9/6/2006 12:00:00 AM","","","","09/06/2006","9/6/2006 12:00:00 AM","Exact date unknown: a date range is provided","9/6/2006 12:00:00 AM","9/28/2009 12:00:00 AM","09/28/2009","9/28/2009 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","dc7800 CMT","213049949","Compaq Business Desktop PC","Computers","Desktops","236034388236095063","236034388","236095063","236095063","09/01/2007","9/1/2007 12:00:00 AM","","","","09/01/2007","9/1/2007 12:00:00 AM","Exact date unknown: a date range is provided","9/1/2007 12:00:00 AM","9/28/2009 12:00:00 AM","09/28/2009","9/28/2009 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","dc7800 SFF","213049949","Compaq Business Desktop PC","Computers","Desktops","236034388236095064","236034388","236095064","236095064","09/01/2007","9/1/2007 12:00:00 AM","","","","09/01/2007","9/1/2007 12:00:00 AM","Exact date unknown: a date range is provided","9/1/2007 12:00:00 AM","9/28/2009 12:00:00 AM","09/28/2009","9/28/2009 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","dc7900 CMT","213049949","Compaq Business Desktop PC","Computers","Desktops","236034388236039764","236034388","236039764","236039764","09/08/2008","9/8/2008 12:00:00 AM","","","","09/30/2008","9/30/2008 12:00:00 AM","","","","06/27/2012","6/27/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","dc7900 SFF","213049949","Compaq Business Desktop PC","Computers","Desktops","236034388236126200","236034388","236126200","236126200","09/08/2008","9/8/2008 12:00:00 AM","","","","09/30/2008","9/30/2008 12:00:00 AM","","","","06/27/2012","6/27/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","DL360 G5","213050000","ProLiant DL360 G5 Server","Computers","Servers","236415282491764035","236415282","491764035","491764035","12/31/2006","12/31/2006 12:00:00 AM","","","","12/31/2006","12/31/2006 12:00:00 AM","Date not published by vendor","","","11/30/2009","11/30/2009 12:00:00 AM","","","","11/30/2014","11/30/2014 12:00:00 AM","","","","","","7932496990"
"SCCM","DL360 G6","213050000","ProLiant DL360 G6 Server","Computers","Servers","236415283491795124","236415283","491795124","491795124","03/30/2009","3/30/2009 12:00:00 AM","","","","03/30/2009","3/30/2009 12:00:00 AM","Date not published by vendor","","","04/30/2011","4/30/2011 12:00:00 AM","","","","04/30/2016","4/30/2016 12:00:00 AM","","","","","","7932496990"
"SCCM","DL360 G7","213050000","ProLiant DL360 G7 Server","Computers","Servers","236415284491773078","236415284","491773078","491773078","05/01/2010","5/1/2010 12:00:00 AM","","","","05/01/2010","5/1/2010 12:00:00 AM","Date not published by vendor","","","04/30/2013","4/30/2013 12:00:00 AM","","","","04/30/2018","4/30/2018 12:00:00 AM","","","","","","7932496990"
"SCCM","DL380 G4","213050000","ProLiant DL380 G4 Server","Computers","Servers","236415291491773424","236415291","491773424","491773424","02/14/2005","2/14/2005 12:00:00 AM","","","","02/14/2005","2/14/2005 12:00:00 AM","Date not published by vendor","","","02/28/2007","2/28/2007 12:00:00 AM","","","","02/28/2012","2/28/2012 12:00:00 AM","","","","","","7932496990"
"SCCM","DL380 G7","213050000","ProLiant DL380 G7 Server","Computers","Servers","236415260491763868","236415260","491763868","491763868","05/11/2010","5/11/2010 12:00:00 AM","","","","05/11/2010","5/11/2010 12:00:00 AM","","","","04/30/2013","4/30/2013 12:00:00 AM","","","","04/30/2018","4/30/2018 12:00:00 AM","","","","","","7932496990"
"SCCM","DL385 G7","213050000","ProLiant DL385 G7 Server","Computers","Servers","236415267495994900","236415267","495994900","495994900","03/29/2010","3/29/2010 12:00:00 AM","","","","04/01/2010","4/1/2010 12:00:00 AM","","","","04/30/2013","4/30/2013 12:00:00 AM","","","","04/30/2018","4/30/2018 12:00:00 AM","","","","","","7932496990"
"SCCM","DL585 G5","213050000","ProLiant DL585 G5 Server","Computers","Servers","236415242501805642","236415242","501805642","501805642","12/31/2008","12/31/2008 12:00:00 AM","","","","12/31/2008","12/31/2008 12:00:00 AM","Date not published by vendor","","","12/31/2010","12/31/2010 12:00:00 AM","","","","12/31/2015","12/31/2015 12:00:00 AM","","","","","","7932496990"
"SCCM","DL585 G7","213050000","ProLiant DL585 G7 Server","Computers","Servers","236415244501806400","236415244","501806400","501806400","06/22/2010","6/22/2010 12:00:00 AM","","","","06/22/2010","6/22/2010 12:00:00 AM","","","","06/30/2015","6/30/2015 12:00:00 AM","","","","06/30/2020","6/30/2020 12:00:00 AM","","","","","","7932496990"
"SCCM","E5440","442549357","Latitude","Computers","Notebooks","10338176481033819444","1033817648","1033819444","1033819444","08/27/2013","8/27/2013 12:00:00 AM","","","","10/31/2013","10/31/2013 12:00:00 AM","","","","-","","Date not published by vendor","","","07/01/2020","7/1/2020 12:00:00 AM","","","","","","7932496990"
"SCCM","E5450","442549357","Latitude","Computers","Notebooks","10338176481033819332","1033817648","1033819332","1033819332","09/04/2014","9/4/2014 12:00:00 AM","","","","09/25/2014","9/25/2014 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","E5470","442549357","Latitude","Computers","Notebooks","10338176481033819319","1033817648","1033819319","1033819319","12/01/2015","12/1/2015 12:00:00 AM","","","","12/01/2015","12/1/2015 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","E6230","442549357","Latitude","Computers","Notebooks","10338176481033819413","1033817648","1033819413","1033819413","05/21/2012","5/21/2012 12:00:00 AM","","","","05/21/2012","5/21/2012 12:00:00 AM","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","E6430","442549357","Latitude","Computers","Notebooks","10338176481033819437","1033817648","1033819437","1033819437","05/31/2012","5/31/2012 12:00:00 AM","","","","05/31/2012","5/31/2012 12:00:00 AM","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","E6430s","442549357","Latitude","Computers","Notebooks","10338176481033819416","1033817648","1033819416","1033819416","05/31/2012","5/31/2012 12:00:00 AM","","","","05/31/2012","5/31/2012 12:00:00 AM","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","E6530","442549357","Latitude","Computers","Notebooks","10338176481033819431","1033817648","1033819431","1033819431","01/04/2012","1/4/2012 12:00:00 AM","","","","01/04/2012","1/4/2012 12:00:00 AM","Date not published by vendor","","","-","","Date not published by vendor","","","07/01/2019","7/1/2019 12:00:00 AM","","","","","","7932496990"
"SCCM","E7240","442549357","Latitude","Computers","Notebooks","10338176481033819447","1033817648","1033819447","1033819447","08/08/2013","8/8/2013 12:00:00 AM","","","","08/26/2013","8/26/2013 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","E7270","442549357","Latitude","Computers","Notebooks","10338176481033819350","1033817648","1033819350","1033819350","01/06/2016","1/6/2016 12:00:00 AM","","","","01/06/2016","1/6/2016 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","E7440","442549357","Latitude","Computers","Notebooks","10338176481033819421","1033817648","1033819421","1033819421","08/27/2013","8/27/2013 12:00:00 AM","","","","09/12/2013","9/12/2013 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","E7450","442549357","Latitude","Computers","Notebooks","10338176481033819297","1033817648","1033819297","1033819297","02/01/2014","2/1/2014 12:00:00 AM","","","","02/01/2014","2/1/2014 12:00:00 AM","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","E7470","442549357","Latitude","Computers","Notebooks","10338176481033819420","1033817648","1033819420","1033819420","01/06/2016","1/6/2016 12:00:00 AM","","","","01/06/2016","1/6/2016 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","M4800","442549357","Precision Mobile Workstation","Computers","Workstations","10338176931033819602","1033817693","1033819602","1033819602","09/09/2013","9/9/2013 12:00:00 AM","","","","09/12/2013","9/12/2013 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","ML310e G8","213050000","ProLiant ML310e G8 Server","Computers","Servers","236415973491086934","236415973","491086934","491086934","09/24/2012","9/24/2012 12:00:00 AM","","","","09/24/2012","9/24/2012 12:00:00 AM","Date not published by vendor","","","08/17/2016","8/17/2016 12:00:00 AM","","","","08/17/2021","8/17/2021 12:00:00 AM","","","","","","7932496990"
"SCCM","N/A","7365","Surface Pro 2","Computers","Notebooks","5251286252512868","52512862","52512868","52512868","09/24/2013","9/24/2013 12:00:00 AM","","","","10/22/2013","10/22/2013 12:00:00 AM","","","","07/05/2014","7/5/2014 12:00:00 AM","","","","04/10/2018","4/10/2018 12:00:00 AM","","","","","","7932496990"
"SCCM","N/A","7365","Surface Pro 3","Computers","Notebooks","6792348467923485","67923484","67923485","67923485","05/20/2014","5/20/2014 12:00:00 AM","","","","06/20/2014","6/20/2014 12:00:00 AM","","","","11/01/2016","11/1/2016 12:00:00 AM","","","","11/13/2021","11/13/2021 12:00:00 AM","","","","","","7932496990"
"SCCM","nx9420","213049949","Compaq 9400 Notebook PC","Computers","Notebooks","236034490236093212","236034490","236093212","236093212","03/01/2006","3/1/2006 12:00:00 AM","","","","03/01/2006","3/1/2006 12:00:00 AM","","","","10/01/2009","10/1/2009 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","R720","442549357","PowerEdge","Computers","Servers","10338176601033818487","1033817660","1033818487","1033818487","03/06/2012","3/6/2012 12:00:00 AM","","","","03/06/2012","3/6/2012 12:00:00 AM","","","","02/01/2015","2/1/2015 12:00:00 AM","","","","02/28/2023","2/28/2023 12:00:00 AM","","","","","","7932496990"
"SCCM","rp5700","213049949","Compaq Business Desktop PC","Computers","Desktops","236034388236039709","236034388","236039709","236039709","06/04/2007","6/4/2007 12:00:00 AM","","","","06/04/2007","6/4/2007 12:00:00 AM","","","","09/19/2013","9/19/2013 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","T1650","442549357","Precision","Computers","Workstations","10338176921033819502","1033817692","1033819502","1033819502","04/23/2012","4/23/2012 12:00:00 AM","","","","05/01/2012","5/1/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","T7600","442549357","Precision","Computers","Workstations","10338176921033819524","1033817692","1033819524","1033819524","04/23/2012","4/23/2012 12:00:00 AM","","","","05/01/2012","5/1/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","","5220","Catalyst 6500 Series Switch","Network Equipment","Hubs/Switches","1011013","1011013","","","","","","","","","","","","","","","","","","","","","","","","","7932496990"
"SNOW","","6517","Power 710","Computers","Servers","20066334","20066334","","","","","","","","","","","","","","","","","","","","","","","","","7932496990"
"SNOW","10291AU","7053","ThinkServer TD230","Computers","Servers","1494150638764760","14941506","38764760","38764760","03/01/2011","3/1/2011 12:00:00 AM","","","","03/31/2011","3/31/2011 12:00:00 AM","","","","06/01/2013","6/1/2013 12:00:00 AM","","","","12/31/2017","12/31/2017 12:00:00 AM","","","","","","7932496990"
"SNOW","1311","5516","Gamer Xtreme","Computers","Desktops","1628957551890068","16289575","51890068","51890068","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","15","442549357","XPS (Notebook)","Computers","Notebooks","10338176561033818666","1033817656","1033818666","1033818666","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","15z (L511z)","442549357","XPS (Notebook)","Computers","Notebooks","10338176561033818686","1033817656","1033818686","1033818686","05/24/2011","5/24/2011 12:00:00 AM","","","","05/24/2011","5/24/2011 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","17 (L701X)","442549357","XPS (Notebook)","Computers","Notebooks","10338176561033818675","1033817656","1033818675","1033818675","10/21/2010","10/21/2010 12:00:00 AM","","","","10/21/2010","10/21/2010 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","2098","5516","Gamer Ultra","Computers","Desktops","1629318351890014","16293183","51890014","51890014","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","2103","5516","Gamer Ultra","Computers","Desktops","1629318351890043","16293183","51890043","51890043","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","2106","5516","Gamer Ultra","Computers","Desktops","1629318351890050","16293183","51890050","51890050","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","2111","5516","Gamer Ultra","Computers","Desktops","1629318351890054","16293183","51890054","51890054","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","260","442549357","Vostro (Desktop)","Computers","Desktops","10338177331033820490","1033817733","1033820490","1033820490","05/24/2011","5/24/2011 12:00:00 AM","","","","06/01/2011","6/1/2011 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","264744U","7053","ThinkPad T20 Notebook","Computers","Notebooks","146442649518227","1464426","49518227","49518227","05/01/2000","5/1/2000 12:00:00 AM","","","","05/01/2000","5/1/2000 12:00:00 AM","","","","02/15/2001","2/15/2001 12:00:00 AM","","","","12/31/2010","12/31/2010 12:00:00 AM","","","","","","7932496990"
"SNOW","390 MT","442549357","OptiPlex","Computers","Desktops","10338177281033818261","1033817728","1033818261","1033818261","05/25/2011","5/25/2011 12:00:00 AM","","","","05/25/2011","5/25/2011 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","4105R9U","7053","ThinkStation S20","Computers","Workstations","868139623747033","8681396","23747033","23747033","11/02/2010","11/2/2010 12:00:00 AM","","","","11/30/2010","11/30/2010 12:00:00 AM","","","","10/01/2012","10/1/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","4155E9U","7053","ThinkStation D20","Computers","Workstations","1155573438672605","11555734","38672605","38672605","10/26/2010","10/26/2010 12:00:00 AM","","","","10/31/2010","10/31/2010 12:00:00 AM","","","","10/01/2012","10/1/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","415752U","7053","ThinkStation S20","Computers","Workstations","868139626833004","8681396","26833004","26833004","03/31/2009","3/31/2009 12:00:00 AM","","","","03/31/2009","3/31/2009 12:00:00 AM","","","","12/31/2010","12/31/2010 12:00:00 AM","","","","12/31/2999","12/31/2999 12:00:00 AM","To be determined","","","","","7932496990"
"SNOW","426593U","7053","ThinkStation C20","Computers","Workstations","1336768738744902","13367687","38744902","38744902","11/02/2010","11/2/2010 12:00:00 AM","","","","11/30/2010","11/30/2010 12:00:00 AM","","","","10/01/2012","10/1/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SNOW","71484RU","7053","IBM System x3690 X5","Computers","Servers","897074262902273639","897074262","902273639","902273639","07/06/2010","7/6/2010 12:00:00 AM","","","","08/23/2010","8/23/2010 12:00:00 AM","","","","11/30/2011","11/30/2011 12:00:00 AM","","","","12/31/2019","12/31/2019 12:00:00 AM","","","","","","7932496990"
"SNOW","7870B4U","7053","IBM BladeCenter HS22","Computers","Servers","902246468902254882","902246468","902254882","902254882","03/30/2009","3/30/2009 12:00:00 AM","","","","03/31/2009","3/31/2009 12:00:00 AM","","","","03/05/2013","3/5/2013 12:00:00 AM","","","","12/31/2019","12/31/2019 12:00:00 AM","","","","","","7932496990"
"SNOW","911SLCK","51889969","Gamer Supreme","Computers","Desktops","5188998151889982","51889981","51889982","51889982","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
